"","V1","FFL","No_FFL","C_Ho_N","C_Ho_P","C_He_N","C_He_N.1","I_Ho_N","I_Ho_P","I_He_N","I_He_N.1","NP_X"
"399","yggS",0,1,0,0,0,0,0,0,0,0,0
"400","yhaC",0,1,0,0,0,0,0,0,0,0,0
"401","rlmG",0,1,0,0,0,0,0,0,0,0,0
"402","lpoA",0,1,0,0,0,0,0,0,0,0,0
"403","insJ",0,1,0,0,0,0,0,0,0,0,0
"404","yiaY",0,1,0,0,0,0,0,0,0,0,0
"405","ahr",0,1,0,0,0,0,0,0,0,0,0
"406","acpH",0,1,0,0,0,0,0,0,0,0,0
"407","glvG",0,1,0,0,0,0,0,0,0,0,0
"408","satP",0,1,0,0,0,0,0,0,0,0,0
"409","zapD",0,1,0,0,0,0,0,0,0,0,0
"410","djlC",0,1,0,0,0,0,0,0,0,0,0
"411","ldtA",0,1,0,0,0,0,0,0,0,0,0
"412","clsB",0,1,0,0,0,0,0,0,0,0,0
"413","amiD",0,1,0,0,0,0,0,0,0,0,0
"414","mlaA",0,1,0,0,0,0,0,0,0,0,0
"415","gfcE",0,1,0,0,0,0,0,0,0,0,0
"416","nudJ",0,1,0,0,0,0,0,0,0,0,0
"417","yciO",0,1,0,0,0,0,0,0,0,0,0
"418","rnm",0,1,0,0,0,0,0,0,0,0,0
"419","zntB",0,1,0,0,0,0,0,0,0,0,0
"420","pdxI",0,1,0,0,0,0,0,0,0,0,0
"421","rsxG",0,1,0,0,0,0,0,0,0,0,0
"422","dmlA",0,1,0,0,0,0,0,0,0,0,0
"423","plaP",0,1,0,0,0,0,0,0,0,0,0
"424","dgcE",0,1,0,0,0,0,0,0,0,0,0
"425","setB",0,1,0,0,0,0,0,0,0,0,0
"426","yejE",0,1,0,0,0,0,0,0,0,0,0
"427","yejF",0,1,0,0,0,0,0,0,0,0,0
"428","flk",0,1,0,0,0,0,0,0,0,0,0
"429","ypdF",0,1,0,0,0,0,0,0,0,0,0
"430","wbbI",0,1,0,0,0,0,0,0,0,0,0
"431","yhdE",0,1,0,0,0,0,0,0,0,0,0
"432","pdeK",0,1,0,0,0,0,0,0,0,0,0
"433","adeQ",0,1,0,0,0,0,0,0,0,0,0
"434","alsK",0,1,0,0,0,0,0,0,0,0,0
"435","ttcA",0,1,0,0,0,0,0,0,0,0,0
"436","trmO",0,1,0,0,0,0,0,0,0,0,0
"437","yehH",0,1,0,0,0,0,0,0,0,0,0
"438","ghxQ",0,1,0,0,0,0,0,0,0,0,0
"439","cutC",0,1,0,0,0,0,0,0,0,0,0
"440","nfrA",0,1,0,0,0,0,0,0,0,0,0
"441","glsB",0,1,0,0,0,0,0,0,0,0,0
"442","rsfS",0,1,0,0,0,0,0,0,0,0,0
"443","djlB",0,1,0,0,0,0,0,0,0,0,0
"444","sapC",0,1,0,0,0,0,0,0,0,0,0
"445","valZ",0,1,0,0,0,0,0,0,0,0,0
"446","bssR",0,1,0,0,0,0,0,0,0,0,0
"447","gstB",0,1,0,0,0,0,0,0,0,0,0
"448","zapC",0,1,0,0,0,0,0,0,0,0,0
"449","ycfH",0,1,0,0,0,0,0,0,0,0,0
"450","nagK",0,1,0,0,0,0,0,0,0,0,0
"451","adhP",0,1,0,0,0,0,0,0,0,0,0
"452","cspF",0,1,0,0,0,0,0,0,0,0,0
