"","V1","FFL","No_FFL","NonPl_X"
"954","xseB",0,1,0
"955","wzzE",1,0,0
"956","moaB",1,0,0
"957","slyB",0,1,0
"958","fhuE",1,0,0
"959","hmp",1,0,0
"960","yfeX",0,1,0
"961","gltK",1,0,0
"962","yedE",0,1,0
"963","putP",1,0,0
"964","speC",1,0,0
"965","menC",0,1,0
"966","moaE",1,0,0
"967","exuT",1,0,0
"968","ybjM",0,1,0
"969","iscU",1,0,0
"970","ilvC",1,0,0
"971","ybiT",1,0,0
"972","phoA",1,0,0
"973","yceH",0,1,0
"974","ulaD",1,0,0
"975","napA",1,0,0
"976","cusR",1,0,0
"977","ispA",0,1,0
"978","pldB",0,1,0
"979","yceB",0,1,0
"980","yjaH",0,1,0
"981","dsbA",1,0,0
"982","kefG",0,1,0
"983","adhE",1,0,0
"984","fepG",1,0,0
"985","nrdR",0,1,0
"986","pqqL",0,1,0
"987","ftsZ",1,0,0
"988","glnH",1,0,0
"989","ypeC",0,1,0
"990","yqhD",1,0,0
"991","glnD",1,0,0
"992","thiM",0,1,0
"993","aroG",1,0,0
"994","idnO",1,0,0
"995","idnD",1,0,0
"996","idnK",1,0,0
"997","idnR",1,0,0
"998","gntU",1,0,0
"999","cspG",0,1,0
"1000","gntK",1,0,0
"1001","yjgR",0,1,0
"1002","yjjZ",1,0,0
"1003","flhC",1,0,0
"1004","alr",0,1,0
"1005","glpF",1,0,0
"1006","yddH",0,1,0
"1007","cspA",1,0,0
"1008","glpT",1,0,0
"1009","codA",1,0,0
"1010","flhD",1,0,0
"1011","metQ",1,0,0
"1012","mcrB",0,1,0
"1013","garR",1,0,0
"1014","metI",1,0,0
"1015","malZ",0,1,0
"1016","ykgM",0,1,0
"1017","kdgK",0,1,0
"1018","zraP",1,0,0
"1019","pspC",1,0,0
"1020","pspD",1,0,0
"1021","pspA",1,0,0
"1022","pspB",1,0,0
"1023","yjiN",0,1,0
"1024","zwf",1,0,0
"1025","dapE",0,1,0
"1026","secE",0,1,0
"1027","yebK",0,1,0
"1028","ompX",1,0,0
"1029","fabH",1,0,0
"1030","yifK",0,1,0
"1031","uup",0,1,0
"1032","pyrH",0,1,0
"1033","argI",1,0,0
"1034","speE",0,1,0
"1035","rplU",1,0,0
"1036","rplY",1,0,0
"1037","ldrD",0,1,0
"1038","yegD",0,1,0
"1039","yddJ",0,1,0
"1040","caiT",1,0,0
"1041","alaS",0,1,0
"1042","nusG",0,1,0
"1043","dnaB",0,1,0
"1044","era",0,1,0
"1045","rplL",0,1,0
"1046","plsX",0,1,0
