"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1","NP_X"
"273","ugpC",1,0,0,0,0,0,0,0,0,0,1
"274","manZ",1,0,0,0,0,0,0.166666666666667,0,0,0.166666666666667,0.666666666666667
"275","ccmD",1,0,0,0,0,0,0,0,0.166666666666667,0,0.833333333333333
"276","rfe",1,0,0,0,0,0,0,0,0,0,1
"277","ydhY",1,0,0,0,0,0,0,0,0,0,1
"278","yhjE",1,0,0,0,0,0,0,0,0,0,1
"279","fepC",1,0,0,0,0,0,0,0,0,0,1
"280","mgsA",0,1,0,0,0,0,0,0,0,0,0
"281","sucC",1,0,0.1,0,0,0.05,0.1,0,0,0,0.75
"282","hypE",1,0,0,0.4,0,0.2,0,0.2,0,0,0.2
"283","gcvH",1,0,0,0,0,0,0,0,0,0,1
"284","tas",0,1,0,0,0,0,0,0,0,0,0
"285","folE",1,0,0,0,0,0,0,0,0,0,1
"286","csrD",0,1,0,0,0,0,0,0,0,0,0
"287","pykA",1,0,0,0,0,0,0,0,0,0,1
"288","yaeP",0,1,0,0,0,0,0,0,0,0,0
"289","trmA",0,1,0,0,0,0,0,0,0,0,0
"290","pepD",1,0,0,0,0,0,0,0,0,0,1
"291","edd",1,0,0,0,0,0,0,0,0,0,1
"292","yciH",1,0,0,0,0,0,0,0,0,0,1
"293","dld",0,1,0,0,0,0,0,0,0,0,0
"294","pgi",1,0,0,0,0,0,0,0,0,0,1
"295","galT",1,0,0,0,0,0,0,0,0,0,1
"296","yhdH",0,1,0,0,0,0,0,0,0,0,0
"297","ynfH",1,0,0,0,0,0,0,0,0,0,1
"298","sodB",1,0,0,0,0,0,0.428571428571429,0,0,0,0.571428571428571
"299","sstT",1,0,0,0,0,0,0.5,0,0,0,0.5
"300","nadB",0,1,0,0,0,0,0,0,0,0,0
"301","ybjI",0,1,0,0,0,0,0,0,0,0,0
"302","purT",1,0,0,0,0,0,0,0,0,0,1
"303","fdoI",0,1,0,0,0,0,0,0,0,0,0
"304","exbB",1,0,0,0,0,0,0,0,0,0,1
"305","yebZ",0,1,0,0,0,0,0,0,0,0,0
"306","pnuC",0,1,0,0,0,0,0,0,0,0,0
"307","rutE",1,0,0,0,0,0,0,0,0,0,1
"308","yeiE",0,1,0,0,0,0,0,0,0,0,0
"309","yncD",0,1,0,0,0,0,0,0,0,0,0
"310","moeA",1,0,0,0,0,0,0,0,0,0,1
"311","melA",1,0,0,0,0,0,0,0,0,0,1
"312","grpE",0,1,0,0,0,0,0,0,0,0,0
"313","ilvE",1,0,0,0,0,0,0,0,0,0,1
