"","V1","Loop_number","No_loop","Loop"
"957","atpG",0,0,1
"958","atpI",1,0,1
"959","cdd",1,0,1
"960","cheA",0,0,1
"961","clpB",2,0,1
"962","clpX",5,0,1
"963","deoB",3,0,1
"964","deoC",2,0,1
"965","deoD",2,0,1
"966","edd",2,0,1
"967","fdoG",0,0,1
"968","flgH",2,0,1
"969","flhA",2,0,1
"970","flhE",2,0,1
"971","fumA",6,0,1
"972","dppC",7,0,1
"973","fdhD",0,0,1
"974","fhuD",1,0,1
"975","frdA",8,0,1
"976","frdC",7,0,1
"977","fucI",6,0,1
"978","gcvH",4,0,1
"979","carA",8,0,1
"980","coaA",0,0,1
"981","codB",1,0,1
"982","cvpA",2,0,1
"983","cydA",2,0,1
"984","cydC",8,0,1
"985","cydD",7,0,1
"986","dnaJ",0,0,1
"987","dnaK",0,0,1
"988","fdoH",0,0,1
"989","flgB",2,0,1
"990","flgC",2,0,1
"991","flgD",2,0,1
"992","flgE",2,0,1
"993","flgF",2,0,1
"994","flgG",2,0,1
"995","flgI",2,0,1
"996","flgJ",2,0,1
"997","flgK",0,0,1
"998","flgL",0,0,1
"999","glcC",5,0,1
"1000","gltA",8,0,1
"1001","gpmA",4,0,1
"1002","grxA",0,0,1
"1003","gshA",0,0,1
"1004","iap",0,0,1
"1005","idi",0,0,1
"1006","ispF",0,0,1
"1007","kgtP",1,0,1
"1008","lldD",1,0,1
"1009","map",4,0,1
"1010","menF",0,0,1
"1011","metN",1,0,1
"1012","mltC",0,0,1
"1013","mqo",0,0,1
"1014","nuoN",17,0,1
"1015","pdhR",5,0,1
"1016","pdxY",0,0,1
"1017","proP",3,0,1
"1018","rbsA",5,0,1
"1019","rbsC",5,0,1
"1020","rimI",0,0,1
"1021","rpoE",23,0,1
"1022","rseA",35,0,1
"1023","sdhB",8,0,1
"1024","gcvT",4,0,1
"1025","glgS",2,0,1
"1026","glpA",13,0,1
"1027","hflK",3,0,1
"1028","hflX",3,0,1
"1029","htpX",1,0,1
"1030","ilvB",2,0,1
"1031","ivbL",2,0,1
"1032","katG",10,0,1
"1033","maa",0,0,1
"1034","manX",8,0,1
"1035","miaA",2,0,1
"1036","mutL",2,0,1
"1037","nrdD",3,0,1
"1038","nrdG",4,0,1
"1039","pitA",0,0,1
"1040","pntA",4,0,1
"1041","ppiA",2,0,1
"1042","proV",7,0,1
