"","V1","Loop_number","No_loop","Loop"
"1099","cspA",4,0,1
"1100","glpT",30,0,1
"1103","flhD",114,0,1
"1106","garR",3,0,1
"1108","bssR",0,0,1
"1112","zraP",0,0,1
"1113","pspC",5,0,1
"1114","pspD",5,0,1
"1115","pspA",5,0,1
"1116","pspB",5,0,1
"1118","pspG",9,0,1
"1121","secE",0,0,1
"1124","ompX",8,0,1
"1129","argI",1,0,1
"1130","speE",0,0,1
"1132","rplY",0,0,1
"1161","dusB",12,0,1
"1168","inaA",8,0,1
"1171","potA",0,0,1
"1177","aroL",2,0,1
"1181","speB",3,0,1
"1183","stpA",4,0,1
"1187","thiI",0,0,1
"1192","upp",1,0,1
"1196","rpsA",0,0,1
"1197","lamB",2,0,1
"1200","pcnB",3,0,1
"1204","yhbE",1,0,1
"1208","yidC",0,0,1
"1214","secA",0,0,1
"1233","yebO",0,0,1
"1235","rnpA",0,0,1
"1236","yebC",0,0,1
"1237","pyrF",1,0,1
"1240","queA",0,0,1
"1243","rpsT",0,0,1
"1244","entD",1,0,1
"1249","rpsF",1,0,1
"1257","fecR",0,0,1
"1258","yhdZ",1,0,1
"1277","ydiY",0,0,1
"1280","soxS",16,0,1
"1290","potB",0,0,1
"1297","greA",1,0,1
"1308","ybfE",1,0,1
"1309","cysM",1,0,1
"1313","spoT",0,0,1
"1314","rpsB",0,0,1
"1323","fecI",0,0,1
"1330","modA",5,0,1
"1335","msrC",0,0,1
"1338","lysA",0,0,1
"1339","frmR",0,0,1
"1340","xanP",0,0,1
"1342","cysD",0,0,1
"1348","priB",4,0,1
"1349","prfC",0,0,1
"1350","metF",0,0,1
"1353","purB",0,0,1
"1355","tsf",0,0,1
"1356","tsaB",0,0,1
"1360","cobS",0,0,1
"1363","ghxP",0,0,1
"1372","yfhL",0,0,1
"1375","apt",0,0,1
"1377","cysN",0,0,1
"1387","cysU",1,0,1
"1390","ynfM",0,0,1
"1394","cysJ",7,0,1
"1406","uraA",0,0,1
"1413","ivy",0,0,1
"1417","astC",14,0,1
"1421","astD",10,0,1
"1423","ybgI",0,0,1
"1424","ubiT",0,0,1
"1426","sdaA",2,0,1
"1434","yihX",0,0,1
"1436","yfdY",0,0,1
"1450","cspI",0,0,1
