"","V1","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"299","btsS",0,1,0,0,0,0,0,0,0,0,0
"300","rraB",0,1,0,0,0,0,0,0,0,0,0
"301","mzrA",1,0,0,0.75,0,0,0,0.25,0,0,0
"302","ybiX",0,1,0,0,0,0,0,0,0,0,0
"303","ycjX",0,1,0,0,0,0,0,0,0,0,0
"304","yhhQ",0,1,0,0,0,0,0,0,0,0,0
"305","yiaD",0,1,0,0,0,0,0,0,0,0,0
"306","ymdA",0,1,0,0,0,0,0,0,0,0,0
"307","yneE",0,1,0,0,0,0,0,0,0,0,0
"308","zntR",0,1,0,0,0,0,0,0,0,0,0
"309","fucK",1,0,0,0.666666666666667,0.166666666666667,0,0,0,0.166666666666667,0,0
"310","lnt",0,1,0,0,0,0,0,0,0,0,0
"311","aspC",0,1,0,0,0,0,0,0,0,0,0
"312","cyoE",1,0,0,0.222222222222222,0,0,0.166666666666667,0.111111111111111,0.333333333333333,0.166666666666667,0
"313","dld",0,1,0,0,0,0,0,0,0,0,0
"314","fadR",1,0,0,0,0,0.5,0,0,0.5,0,0
"315","fdx",0,1,0,0,0,0,0,0,0,0,0
"316","fpr",1,0,0,1,0,0,0,0,0,0,0
"317","ghrA",0,1,0,0,0,0,0,0,0,0,0
"318","mdtL",0,1,0,0,0,0,0,0,0,0,0
"319","pepB",0,1,0,0,0,0,0,0,0,0,0
"320","pepN",0,1,0,0,0,0,0,0,0,0,0
"321","pmrD",0,1,0,0,0,0,0,0,0,0,0
"322","ulaE",1,0,0,0.25,0,0,0.5,0,0.25,0,0
"323","ulaR",0,1,0,0,0,0,0,0,0,0,0
"324","rcsB",1,0,0,0,0,0,0,0,1,0,0
"325","ybaV",0,1,0,0,0,0,0,0,0,0,0
"326","rrrD",0,1,0,0,0,0,0,0,0,0,0
"327","ycjF",0,1,0,0,0,0,0,0,0,0,0
"328","rnt",0,1,0,0,0,0,0,0,0,0,0
"329","rsuA",0,1,0,0,0,0,0,0,0,0,0
